,Bloque,cantidad
0,FRENTE DE TODOS,118
1,PRO,48
2,UCR,34
3,EVOLUCION RADICAL,12
4,COALICIÓN CÍVICA,11
5,ENCUENTRO FEDERAL,4
6,IDENTIDAD BONAERENSE,3
7,CÓRDOBA FEDERAL,3
8,PTS - FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3
9,JUNTOS SOMOS RIO NEGRO,2
10,SER - SOMOS ENERGIA PARA RENOVAR,2
11,SOCIALISTA,2
12,FRENTE DE LA CONCORDIA MISIONERO,2
13,PRODUCCION Y TRABAJO,2
14,LA LIBERTAD AVANZA,2
15,CREO,1
16,VALORES REPUBLICANOS,1
17,AHORA PATRIA,1
18,AVANZAR SAN LUIS,1
19,AVANZA LIBERTAD,1
20,REPUBLICANOS UNIDOS,1
21,MOVIMIENTO POPULAR NEUQUINO,1
22,PARTIDO OBRERO – FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1
23,Buenos Aires Libre,1
